datetime,sec_code,open,high,low,close,volume,openinterest,ROE,EP
2021-08-31,300422.SZ,49.3823424,51.07986042,48.3535436,49.22802258,24453961.0,0,0.0720232147388336,0.0413196681829083
2021-08-31,000615.SZ,120.65985033,124.93340946000001,116.84092515,118.56853416,24263436.0,0,-0.0121911037316538,-0.002038045119933
2021-08-31,000425.SZ,241.95617800000002,262.2492768,240.78542230000002,254.4442388,431835017.0,0,0.1398534416408709,0.094844482616613
2021-08-31,000059.SZ,12.80338375,13.3017705,12.49404025,13.2330275,40618106.0,0,0.1267718488984572,0.137443529449646
2021-08-31,000023.SZ,37.54541511,37.86563187,36.71818848,37.03840524,489301.0,0,0.0236100805560235,0.0056887292434361
2021-08-31,000008.SZ,49.97049339,50.64274218,49.07416167,49.97049339,27386665.999999996,0,-0.1110305608572004,-0.1211449853838651
2021-08-31,603839.SH,13.70412928,13.801552000000001,13.428098239999999,13.5579952,1859875.9999999998,0,0.0685508759829257,0.0563417096904598
2021-08-31,300421.SZ,49.593413000000005,50.374245460000004,45.794768600000005,47.2720192,6731766.0,0,0.0882943682746131,0.0184650871910705
2021-08-31,000613.SZ,5.2207191,5.2493257799999995,5.10629238,5.12059572,4894900.0,0,-0.0496839800647671,-0.0026724752009623
2021-08-31,000423.SZ,349.94822927999996,353.73200616,344.32369608,351.48219287999996,4893975.0,0,0.0286976475225554,0.012320452025883
2021-08-31,000058.SZ,18.13827834,18.79427394,18.00707922,18.630275039999997,10479386.0,0,0.0075603487332557,0.0020999845398625
